Menu_Item,Ingredient,Quantity,Units
Baked Chicken Wings with Thai Peanut Sauce,"cloves garlic, peeled and roughly chopped",2,40
Baked Chicken Wings with Thai Peanut Sauce,"inch knob ginger, peeled and roughly chopped (about 1 tablespoon)",1,40
Baked Chicken Wings with Thai Peanut Sauce,cup coconut milk,1,40
Baked Chicken Wings with Thai Peanut Sauce,cup smooth peanut butter,0.5,40
Baked Chicken Wings with Thai Peanut Sauce,"lime, juiced",0.5,40
Baked Chicken Wings with Thai Peanut Sauce,tablespoons brown sugar,2,40
Baked Chicken Wings with Thai Peanut Sauce,tablespoons fish sauce,2,40
Baked Chicken Wings with Thai Peanut Sauce,teaspoon sesame oil,1,40
Baked Chicken Wings with Thai Peanut Sauce,teaspoon red pepper flakes,0.5,40
Baked Chicken Wings with Thai Peanut Sauce,"pounds chicken wings, skinned with tips removed and drumettes and flats separated",5,40
Baked Chicken Wings with Thai Peanut Sauce,cooking spray,0,40
Baked Chicken Wings with Thai Peanut Sauce,"lime wedges, chopped green onion, chopped cilantro for garnish",0,40
Homemade Chorizo Meatballs in Cilantro Masa Cups,lb ground pork,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,cup Panko breadcrumbs,0.5,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,egg,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,cup chicken stock,0.25,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tbsp Smoked paprika,2,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp ancho chili powder,2,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp Mexican oregano,2,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp onion powder,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp garlic powder,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp ground cumin,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tsp kosher salt,0.5,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,cup raisins,0.25,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,tbsp slivered almonds,2,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,batch of homemade cilantro masa,1,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,shredded sharp cheddar cheese,0,4
Homemade Chorizo Meatballs in Cilantro Masa Cups,salsa,0,4
Bruschetta Caprese,to 12 Italian bread slices (depends on the size of your bread),6,6
Bruschetta Caprese,cup Extra Virgin Olive Oli,1,6
Bruschetta Caprese,tablespoon dry oregano,1,6
Bruschetta Caprese,salt,0,6
Bruschetta Caprese,garlic clove,1,6
Bruschetta Caprese,"cup ready tomato Tomato and Basil Sauce, I like the Barilla one",0.5,6
Bruschetta Caprese,"vine-ripened tomato, sliced",4,6
Bruschetta Caprese,balls of shredded fresh mozzarella,2,6
Bruschetta Caprese,cup shredded Emmenthal Cheese,0.25,6
Bruschetta Caprese,cup shredded fresh Basil leaves,0.25,6
Bruschetta Caprese,"Cherry Tomatoes, halved for decoration",3,6
Bruschetta Caprese,fresh leaves of basil for decoration,6,6
Bruschetta Caprese,Extra Virgin Olive Oil to drizzle,0,6
Beet-Pickled Quail Eggs,"small red beet, peeled and coarsely grated",1,8
Beet-Pickled Quail Eggs,cup white balsamic vinegar,1,8
Beet-Pickled Quail Eggs,cup sugar,0.5,8
Beet-Pickled Quail Eggs,teaspoon coarse salt,1,8
Beet-Pickled Quail Eggs,teaspoon juniper berries,1,8
Beet-Pickled Quail Eggs,dried bay leaf,1,8
Beet-Pickled Quail Eggs,quail eggs (available at dartagnan.com),24,8
Beet-Pickled Quail Eggs,"Hot sauce, celery leaves, and flaky sea salt, for serving",0,8
Fried Green Tomato Tacos,"tomato, core removed and small diced",1,4
Fried Green Tomato Tacos,"cup frozen corn kernels, thawed",1,4
Fried Green Tomato Tacos,"jalapeno, seeded and small diced",1,4
Fried Green Tomato Tacos,cup chopped fresh cilantro,0.25,4
